Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,all,esp32_full_payload_run29.csv,12567,65.6906997463,0.1074614825,0.1081669000,0.0027252337,0.1104175000,0.0961636000,0.0003364066,94.7163581396,95.3380992505,2.4019672940,97.3217337808,84.7586269505,475.5120153607,12.0587861615,0.3131288802
wifi,all,esp32_full_payload_run17.csv,12299,68.5772993480,0.1077549802,0.1082945000,0.0027472226,0.1139037000,0.0963956500,0.0003319122,94.9750412250,95.4505633783,2.4213478960,100.3944018248,84.9631512519,476.8107024899,12.1560841288,0.3081064997
wifi,all,esp32_full_payload_run03.csv,12219,75.2151712334,0.1078333498,0.1080665000,0.0023317631,0.1165115000,0.0959739600,0.0002690705,95.0441146937,95.2496086671,2.0551700460,102.6928654026,84.5914819881,477.1574774820,10.3177325405,0.2496251656
wifi,all,esp32_full_payload_run02.csv,13138,34.1498513450,0.1069016115,0.1078441000,0.0034716101,0.1190607000,0.0957017900,0.0005941610,94.2228989072,95.0535896857,3.0598087825,104.9396800942,84.3515967086,473.0346629928,15.3613997555,0.5558469822
wifi,all,esp32_full_payload_run16.csv,12679,76.1161239732,0.1074388254,0.1082887000,0.0032035890,0.1162620000,0.0961837900,0.0003673473,94.6963885971,95.4454513725,2.8235802335,102.4729610148,84.7764220190,475.4117606887,14.1754429093,0.3419864841
wifi,all,esp32_full_payload_run12.csv,12899,68.1639083352,0.1079878391,0.1082324000,0.0019436232,0.1166788000,0.0962892400,0.0002356525,95.1802785347,95.3958296609,1.7130712084,102.8403203289,84.8693635729,477.8410715698,8.6002667201,0.2183364734
wifi,all,esp32_full_payload_run06.csv,12168,114.4945858631,0.1079748208,0.1081975000,0.0020357521,0.1221135000,0.0966406200,0.0001905466,95.1688044474,95.3650694880,1.7942718073,107.6303579109,85.1790629870,477.7834673027,9.0079245016,0.1766156062
wifi,all,esp32_full_payload_run07.csv,11996,110.6035510267,0.1078550349,0.1079715000,0.0014424086,0.1142499000,0.0990144400,0.0001375583,95.0632275243,95.1658775375,1.2713105110,100.6995356889,87.2713011994,477.2534311354,6.3824605919,0.1277369329
wifi,all,esp32_full_payload_run13.csv,12273,55.1856621807,0.1076876771,0.1081455000,0.0024070416,0.1138817000,0.0960026900,0.0003241905,94.9157216609,95.3192377118,2.1215191082,100.3750114579,84.6168040445,476.5128957964,10.6508299788,0.3011305189
wifi,all,esp32_full_payload_run05.csv,11251,92.1010163490,0.1081650884,0.1081665000,0.0017160446,0.1151818000,0.0961466300,0.0001791247,95.3365025459,95.3377466983,1.5124879318,101.5208940017,84.7436699266,478.6253753151,7.5932626505,0.1657548053
wifi,all,esp32_full_payload_run11.csv,12039,103.0551538040,0.1081279864,0.1080682000,0.0016247715,0.1167981000,0.0969798900,0.0001603999,95.3038015835,95.2511070137,1.4320416545,102.9454690001,85.4780888854,478.4612040900,7.1893918493,0.1485119924
wifi,all,esp32_full_payload_run10.csv,11969,105.4529790273,0.1081160638,0.1080889000,0.0012025058,0.1165863000,0.0997909500,0.0001175770,95.2932932230,95.2693515861,1.0598649046,102.7587926500,87.9557018255,478.4084481377,5.3209235099,0.1089816664
wifi,all,esp32_full_payload_run04.csv,12122,110.0419197406,0.1080037357,0.1081376000,0.0021342644,0.1201117000,0.0962421000,0.0002037297,95.1942894557,95.3122748073,1.8810986282,105.8660108022,84.8278153050,477.9114117033,9.4438280498,0.1887653246
wifi,all,esp32_full_payload_run09.csv,11742,89.8680666468,0.1080638815,0.1081601000,0.0015471782,0.1139213000,0.0963148900,0.0001635487,95.2473007508,95.3321058644,1.3636524012,100.4099141183,84.8919709779,478.1775484960,6.8460518781,0.1515105241
