timestamp,V_shunt,experiment_start
2026-03-24T16:36:09.099091,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.102916,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.106714,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.110844,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.114030,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.117936,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.124606,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.128488,6.51975000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.135562,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.139162,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.142960,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.146772,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.150906,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.154086,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.157918,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.161944,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.166094,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.169441,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.173395,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.177237,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.184347,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.188175,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.195511,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.198992,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.203040,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.206755,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.210910,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.214187,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.218053,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.221940,6.51765000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.229205,6.51576000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.233134,6.51576000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.239798,6.51576000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.243694,6.51576000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.247592,6.51576000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:09.251951,6.51576000E-02,2026-03-24T16:36:06.296566
